SITE***	Age (Ma)	Genus	d18O adj.*	d13C	d18O 5pt**	d13C 5pt	"*O-isotope Adustments: CIB (+0.64), NUT (+0.45) (see Shackleton et al., 1984; Shackleton & Hall, 1997)"
806	0.36	CIB	4.11	-0.49	4.32	-0.34
849	0.36	CIB	4.34	-0.25	4.27	
607	0.3602	CIB	4.44	-0.28	4.22	-0.33
659	0.362	CIB	4.35		4.24	-0.25
806	0.363	CIB	3.88	-0.3	4.19	-0.25
849	0.364	CIB	4.21	-0.18	4.18	0
659	0.365	CIB	4.09		4.13	-0.1
607	0.365	CIB	4.39	0.48	4.24	-0.03
806	0.366	CIB	4.07	-0.4	4.28	0.09
659	0.366	CIB	4.46		4.25	
607	0.3668	CIB	4.39	0.2	4.19	-0.12
659	0.368	CIB	3.93		4.23	0.04
849	0.368	CIB	4.12	-0.14	4.21	0.13
607	0.3685	CIB	4.27	0.06	4.14	0.02
607	0.3716	CIB	4.34	0.41	4.17	-0.01
806	0.372	CIB	4.03	-0.26	4.19	0.13
849	0.372	CIB	4.08	-0.12	4.16	0.14
607	0.3733	CIB	4.22	0.54	4.1	0.03
659	0.375	CIB	4.14		4.15	0.14
849	0.376	CIB	4.05	-0.05	4.14	0.12
607	0.3771	CIB	4.25	0.19	4.13	0.18
806	0.378	CIB	4.03	-0.19	4.11	0.13
607	0.3799	CIB	4.2	0.75	4.1	0.18
849	0.38	CIB	4.02	-0.04	4.04	0.34
659	0.382	CIB	3.99		4.02	0.38
607	0.3832	CIB	3.96	0.83	3.98	0.18
806	0.384	CIB	3.92	-0.03	3.95	0.42
849	0.384	CIB	4.02	-0.03	3.95	0.33
607	0.3865	CIB	3.88	0.92	3.85	0.12
849	0.388	CIB	3.97	-0.06	3.84	0.16
806	0.389	CIB	3.48	-0.21	3.79	0.37
659	0.389	CIB	3.85		3.78	0.15
607	0.3898	CIB	3.78	0.84	3.74	0.37
849	0.392	CIB	3.84	0.01	3.75	0.42
607	0.3931	CIB	3.74	0.85	3.66	0.39
806	0.395	CIB	3.54	-0.01	3.62	0.41
849	0.396	CIB	3.41	0.25	3.53	0.66
607	0.3964	CIB	3.56	0.97	3.52	0.61
607	0.3979	CIB	3.41	1.23	3.47	0.94
659	0.398	CIB	3.66		3.42	0.95
607	0.3987	CIB	3.29	1.3	3.32	1.03
849	0.4	CIB	3.19	0.28	3.28	0.79
607	0.4009	CIB	3.04	1.29	3.11	0.85
806	0.401	CIB	3.24	0.3	3.09	0.8
607	0.4017	CIB	2.81	1.06	3.08	0.79
607	0.4033	CIB	3.18	1.05	3.14	0.73
849	0.404	CIB	3.15	0.24	3.07	0.84
607	0.4046	CIB	3.33	1.01	3.14	0.66
659	0.405	CIB	2.89		3.24	0.63
806	0.406	CIB	3.14	0.33	3.33	0.75
607	0.406	CIB	3.67	0.93	3.32	0.56
607	0.4075	CIB	3.64	0.73	3.47	0.56
849	0.408	CIB	3.25	0.25	3.51	0.62
607	0.409	CIB	3.63	0.56	3.44	0.51
659	0.41	CIB	3.34		3.47	0.07
659	0.41	CIB	3.34		3.44	0.07
607	0.4106	CIB	3.81	-0.61	3.39	-0.03
806	0.412	CIB	3.1	0.26	3.67	-0.16
849	0.412	CIB	3.35	0.26	3.65	
607	0.4125	CIB	4.77	-0.56	3.58	0.06
659	0.413	CIB	3.24		3.91	-0.2
849	0.416	CIB	3.45	0.27	4.2	-0.49
607	0.4162	CIB	4.74	-0.76	3.86	-0.29
607	0.4179	CIB	4.82	-0.92	3.98	
806	0.418	CIB	3.03	0.25	4.28	-0.5
659	0.419	CIB	3.87		4.05	-0.24
607	0.4198	CIB	4.96	-0.59	3.97	-0.12
849	0.42	CIB	3.55	0.28	4.06	-0.25
806	0.42	CIB	4.46	-0.45	4.01	-0.21
659	0.423	CIB	3.47		3.85	-0.07
806	0.423	CIB	3.62	-0.09	3.88	-0.18
849	0.424	CIB	4.13	-0.02	3.97	-0.09
806	0.425	CIB	3.73	-0.17	4.21	-0.26
659	0.426	CIB	4.88		4.42	-0.32
607	0.4271	CIB	4.7	-0.77	4.55	-0.41
806	0.428	CIB	4.65	-0.33	4.71	-0.49
849	0.428	CIB	4.79	-0.36	4.67	-0.45
659	0.43	CIB	4.56		4.62	-0.4
806	0.431	CIB	4.67	-0.33	4.66	-0.41
607	0.4312	CIB	4.45	-0.58	4.74	-0.42
849	0.432	CIB	4.86	-0.37	4.78	-0.42
659	0.432	CIB	5.18		4.76	-0.43
607	0.4344	CIB	4.76	-0.42	4.85	-0.37
806	0.436	CIB	4.57	-0.34	4.92	-0.37
849	0.436	CIB	4.9	-0.35	4.82	-0.35
659	0.436	CIB	5.21		4.85	-0.33
607	0.438	CIB	4.68	-0.28	4.94	-0.33
849	0.44	CIB	4.89	-0.34	4.82	-0.29
659	0.44	CIB	5.05		4.72	-0.31
806	0.441	CIB	4.27	-0.23	4.72	-0.31
607	0.4417	CIB	4.69	-0.38	4.71	-0.3
849	0.444	CIB	4.71	-0.28	4.59	-0.32
659	0.444	CIB	4.83		4.66	-0.35
806	0.445	CIB	4.43	-0.4	4.68	-0.34
607	0.4453	CIB	4.63	-0.36	4.65	-0.32
659	0.447	CIB	4.8		4.53	-0.35
849	0.448	CIB	4.56	-0.19	4.56	-0.32
806	0.45	CIB	4.25	-0.46	4.64	-0.31
849	0.452	CIB	4.58	-0.28	4.53	-0.3
659	0.452	CIB	5.01		4.44	-0.32
607	0.4526	CIB	4.27	-0.28	4.38	-0.12
806	0.454	CIB	4.11	-0.25	4.42	-0.07
